objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
004.001.2026,Examining Mass Incarceration How Institutions Can Diversify Who They Represent and Enlarge Their Community (2).png,,Examining Mass Incarceration How Institutions Can Diversify Who They Represent and Enlarge Their Community,PNG File,Poster on mass incarceration and its impact across the world. Shows where museums and other public history institutions can gain an audience and represent all people.,Quinton Bradford,,04/01/2026,,,"Incarceration, Incarceration Issues.",UNCG Public History House,,,,,,,,,,,,English,
002.001.2026,Outline 697.docx,,Historiography Outline,Microsoft Word Document,Historiography outline on sexual violence against enslaved men and women. ,Quinton Bradford,,02/18/2026,,,"Slavery, Sexual Violence Victims",Digitally preserved,,,,,,,,,,,,English,
001.005.2026,Rough Draft Black Businesses Label.docx,,Black Businesses in Greensboro ,Microsoft Word Document,"Introduction label for black businesses in Greensboro, for the Greensboro History Museum.",Quinton Bradford,,01/19/2026,,,"Businesses, Businesses-Historiography","Digitally preserved, physical location pending. ",,,,,,,,,,,,English,
012.001.2025,Lonnie Atkinson Final Transcript.docx,,Lonnie Atkinson Oral History,Microsoft Word Document,"Oral history transcript with Lonnie Atkinson, detailing his life and progress after incarceration.","Quinton Bradford, Lonnie Atkinson",,12/02/2025,,,"Incarceration, Incarceration Issues.",Digitally preserved,,,,,,,,,,,,English,
012.002.2025,The Prison Experience.docx,,The Prison Experience,Microsoft Word Document,"Podcast episode script detailing the experience of incarceration, focused on presenting oral histories to display first-hand accounts. ",Quinton Bradford,,12/01/2025,,,"Incarceration, Incarceration Issues.",Digitally preserved,,,,,,,,,,,,English,
012.003.2025,Origins Podcast.docx,,Origins of Incarceration,Microsoft Word Document,"Podcast episode script focusing on the roots or origins of mass incarceration in slavery, chain gangs, and more. Utilizes primary and secondary sources to show how incarceration reinvented itself.",Quinton Bradford,,12/01/2025,,,"Incarceration, Incarceration Issues.",Digitally preserved,,,,,,,,,,,,English,
012.004.2025,"Rehabilitation, Community, and Progress.docx",,"Rehabilitation, Community, and Progress",Microsoft Word Document,"Podcast episode script detailing how communities can move past mass incarceration and become self-sufficent, building community does in fact show results and those that are much more promising than the current system.",Quinton Bradford,,12/01/2025,,,"Incarceration, Incarceration Issues.",Digitally preserved ,,,,,,,,,,,,English,
002.001.2025,Omega Wilson and Brenda Wilson Oral History.docx,,Omega and Brenda Wilson Oral History Transcript,Microsoft Word Document,"Oral history with Omega Wilson and his wife, Brenda, detailing their lives as well as their growth of the West End Revitilization Association to help combat against environmental issues. ",Quinton Bradford,,02/15/2025,,,"Environmental Action Groups, Black History",Digitally preserved ,,,,,,,,,,,,English,
002.002.2025,Materiality Paper.docx,,"African American Material Culture and Space in Greensboro, North Carolina",Microsoft Word Document,Essay focused on material culture during the Civil Rights Movement in Greensboro. Utilizing stools from the Woolworth sit-ins to display how space played an active role. ,Quinton Bradford ,,02/26/2025,,,"Material Culture, Civil Rights Movements--North Carolina--Greensboro",Digitally preserved ,,,,,,,,,,,,English,
 005.001.2025,Ancient Nationalism Final Draft.pdf,,Ancient Nationalism: How Roman Leaders Used Material Culture and the Past to Consolidate and Hold Power,Microsoft Edge PDF Document ,"Essay displaying how Roman leaders used the reign of past emperors and the material culture that goes along with it to usurp power through the use of nostalgia and the ""better Rome."" ",Quinton Bradford ,,05/05/2025,,,Rome--Antiquities ,Digitally preserved ,,,,,,,,,,,,English,
,,,,,,,,,,,,,,,,,,,,,,,,Englsih ,
